run,score
0,1964.3513788127127
1,5308.642010311165
2,519.3039221363042
3,5648.8073380783535
4,1942.9978973640027
5,5883.117016454555
6,3918.3413717107383
7,1655.7301081960752
8,5100.02289214178
9,5231.223085199842
10,5732.126775474791
11,5577.030837621359
12,5967.976301525533
13,5497.860964523444
14,4958.351966286689
15,5725.705931845482
16,5807.959918490184
17,2483.1359339878354
18,2676.69934771884
19,5339.359044505295
20,4229.073595881513
21,2801.9379466120527
22,5344.651210307116
23,5665.467103639421
24,5507.804130481312
25,5211.670392039754
26,5159.868376794211
27,3820.245917470261
28,5545.060188858673
29,5751.382290870954
30,1469.29914415323
31,4913.506816011201
32,3900.049483481117
33,5533.028525058682
34,5491.134945370213
35,4626.754470140913
36,5508.199779365015
37,892.9931215234553
38,4238.249629209485
39,3759.718084201938
40,4992.225414326772
41,5634.9070559409665
42,5496.0766847974
43,1587.4466375540635
44,5736.403503077108
45,2480.8591482026286
46,5968.4807284686685
47,5396.650853974783
48,2212.672135741223
49,5659.566771084872
50,1784.7277009491131
51,2541.961466452559
52,5899.812643123545
53,2130.2194823686887
54,3753.9702063817135
55,5368.622096444329
56,3575.910130083207
57,1664.5789911148518
58,5654.457174198936
59,5597.181901853754
60,4426.275046295094
61,1346.7497947676675
62,2521.4591969509966
63,5099.118913887821
64,2368.7719574940384
65,1599.9572337858417
66,3047.9660142359107
67,986.7752910524935
68,5438.411398931313
69,5539.721836197182
70,4944.849557792988
71,1348.1996451849845
72,5877.119376220805
73,4681.400803217174
74,5844.97903838581
75,4667.858003027158
76,4940.619805912709
77,5140.197506200515
78,5329.204888816013
79,5321.203071279279
80,2249.8010110114105
81,210.29733679065535
82,5131.480241755353
83,4176.1349053114955
84,4181.578667276365
85,4560.99336029042
86,983.3439659646025
87,3630.3371459441505
88,5674.476074019336
89,2832.7808178058467
90,5291.288520583818
91,4409.052556337848
92,5822.3675641650625
93,5855.252869034363
94,4956.116005835074
95,5873.435609957449
96,4347.6375450446385
97,4240.014150728609
98,5832.867125197993
99,4815.773824202594
